iter	Passed	Remaining
700	2389	1019
701	2391	1015
702	2395	1011
703	2396	1007
704	2410	1008
705	2417	1006
706	2420	1002
707	2422	998
708	2424	995
709	2433	993
710	2437	990
711	2458	994
712	2466	992
713	2467	988
714	2471	985
715	2472	980
716	2479	978
717	2482	974
718	2485	971
719	2487	967
720	2490	963
721	2520	970
722	2520	965
723	2521	961
724	2522	956
725	2526	953
726	2527	949
727	2528	944
728	2529	940
729	2530	935
730	2531	931
731	2532	927
732	2532	922
733	2539	920
734	2540	916
735	2544	912
736	2546	908
737	2547	904
738	2548	900
739	2556	898
740	2559	894
741	2560	890
742	2561	885
743	2562	881
744	2563	877
745	2570	875
746	2572	871
747	2573	866
748	2574	862
749	2575	858
750	2576	854
751	2577	849
752	2578	845
753	2578	841
754	2587	839
755	2591	836
756	2593	832
757	2603	831
758	2604	826
759	2605	822
760	2605	818
761	2606	814
762	2608	810
763	2609	806
764	2614	803
765	2615	798
766	2616	794
767	2617	790
768	2618	786
769	2619	782
770	2620	778
771	2621	774
772	2621	769
773	2622	765
774	2623	761
775	2624	757
776	2628	754
777	2629	750
778	2631	746
779	2632	742
780	2633	738
781	2634	734
782	2634	730
783	2635	726
784	2636	722
785	2637	718
786	2638	714
787	2639	710
788	2644	707
789	2652	705
790	2654	701
791	2655	697
792	2663	695
793	2664	691
794	2666	687
795	2666	683
796	2667	679
797	2668	675
798	2668	671
799	2669	667
800	2670	663
801	2674	660
802	2675	656
803	2676	652
804	2677	648
805	2678	644
806	2679	640
807	2680	636
808	2681	633
809	2682	629
810	2683	625
811	2683	621
812	2684	617
813	2685	613
814	2690	610
815	2692	607
816	2693	603
817	2694	599
818	2695	595
819	2695	591
820	2696	587
821	2697	584
822	2698	580
823	2698	576
824	2699	572
825	2700	568
826	2705	565
827	2711	563
828	2712	559
829	2713	555
830	2714	551
831	2715	548
832	2715	544
833	2720	541
834	2726	538
835	2726	534
836	2727	531
837	2728	527
838	2729	523
839	2730	520
840	2731	516
841	2735	513
842	2736	509
843	2738	506
844	2739	502
845	2740	498
846	2741	495
847	2741	491
848	2742	487
849	2743	484
850	2744	480
851	2745	476
852	2749	473
853	2753	470
854	2755	467
855	2756	463
856	2757	460
857	2757	456
858	2758	452
859	2758	449
860	2759	445
861	2760	441
862	2761	438
863	2765	435
864	2768	432
865	2770	428
866	2770	425
867	2771	421
868	2772	417
869	2772	414
870	2773	410
871	2774	407
872	2775	403
873	2775	400
874	2780	397
875	2782	393
876	2783	390
877	2785	387
878	2786	383
879	2787	380
880	2788	376
881	2789	373
882	2789	369
883	2791	366
884	2796	363
885	2800	360
886	2801	356
887	2802	353
888	2803	350
889	2804	346
890	2806	343
891	2811	340
892	2813	337
893	2814	333
894	2815	330
895	2816	326
896	2818	323
897	2818	320
898	2819	316
899	2820	313
900	2820	309
901	2833	307
902	2835	304
903	2836	301
904	2837	297
905	2841	294
906	2848	292
907	2849	288
908	2850	285
909	2851	281
910	2851	278
911	2852	275
912	2856	272
913	2858	268
914	2859	265
915	2860	262
916	2860	258
917	2861	255
918	2862	252
919	2863	248
920	2864	245
921	2865	242
922	2866	239
923	2866	235
924	2870	232
925	2872	229
926	2874	226
927	2875	223
928	2876	219
929	2877	216
930	2878	213
931	2879	210
932	2880	206
933	2881	203
934	2881	200
935	2885	197
936	2891	194
937	2893	191
938	2894	188
939	2895	184
940	2896	181
941	2896	178
942	2897	175
943	2906	172
944	2908	169
945	2909	166
946	2910	162
947	2912	159
948	2913	156
949	2917	153
950	2920	150
951	2921	147
952	2922	144
953	2923	140
954	2924	137
955	2925	134
956	2925	131
957	2926	128
958	2927	125
959	2927	121
960	2934	119
961	2937	116
962	2939	112
963	2940	109
964	2940	106
965	2941	103
966	2942	100
967	2943	97
968	2947	94
969	2952	91
970	2953	88
971	2954	85
972	2955	82
973	2956	78
974	2957	75
975	2958	72
